#,Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,MonthSeason,MonthYear
31,Nick Pivetta,BOS,38.1,-2.9, , , , , ,1.7, ,3.5, ,-5.2, , ,2,5
32,Dane Dunning,TEX,28.1,-3.1, ,-0.2, , ,-10.6,3.5, , , ,-11.2, , ,2,5
33,Ian Anderson,ATL,28.1,-3.4, , , , , , ,-0.5, , ,-6.3, , ,2,5
34,Miles Mikolas,STL,31.0,-3.4, , , , ,-8.0,1.7,4.9, , ,-7.8, , ,2,5
35,Tyler Wells,BAL,30.2,-3.5, , , , , ,2.4,7.3, , ,-8.5, , ,2,5
36,Chris Bassitt,NYM,35.0,-3.6, ,1.2, , ,-9.5,7.7,8.8, , ,-10.1, , ,2,5
37,Zach Plesac,CLE,28.0,-3.7, , , , , ,1.2,1.3, , ,-6.5, , ,2,5
38,Humberto Castellanos,ARI,30.1,-3.8, , , , ,-9.6,0.3,5.8, , ,-8.8, , ,2,5
39,Paul Blackburn,OAK,34.1,-3.8, ,2.8, , ,-8.0,7.9,3.9, , ,-7.9, , ,2,5
40,Walker Buehler,LAD,34.0,-3.8, ,2.1, , ,-8.3,7.3, ,6.4, ,-8.3, , ,2,5
41,Jordan Lyles,BAL,37.0,-3.8, , , , ,-8.0,8.9,3.8, , ,-8.3, , ,2,5
42,Jameson Taillon,NYY,31.1,-3.9, ,1.5, , ,-8.3,3.1,4.9, , ,-8.8, , ,2,5
43,Alek Manoah,TOR,31.0,-4.1, , , , ,-9.4,7.8, , , ,-9.3, , ,2,5
44,Frankie Montas,OAK,35.0,-4.1, ,2.1,-6.7, ,-9.3,2.9, , , , , , ,2,5
45,Kyle Hendricks,CHC,29.0,-4.2, , , , ,-8.6, ,6.8, , ,-8.2, , ,2,5
46,Carlos Carrasco,NYM,30.0,-4.4, , , , ,-9.3,0.8,3.9, , ,-4.8, , ,2,5
47,Cal Quantrill,CLE,31.2,-4.5, ,1.4, , ,-7.1, ,1.4, , ,-7.0, , ,2,5
48,Logan Gilbert,SEA,36.2,-4.5, , , , , ,3.0, ,2.7, ,-9.2, , ,2,5
49,Alex Cobb,SFG,28.1,-4.6, , ,-7.3, ,-9.1, , ,3.4, , , , ,2,5
50,Shane Bieber,CLE,24.1,-4.6, ,0.7, , , ,1.4, ,4.7, ,-7.3, , ,2,5
51,Luis Severino,NYY,29.0,-4.7, ,2.5, , , ,5.6, , , ,-8.5, , ,2,5
52,Logan Webb,SFG,31.0,-5.0, , , , ,-8.8,5.8, , , ,-4.5, , ,2,5
53,German Marquez,COL,29.0,-5.6, , , , ,-8.7,0.6, ,0.7, ,-6.3, , ,2,5
54,Zack Wheeler,PHI,32.2,-5.9, , , , ,-9.4,0.8,4.1, , ,-9.1, , ,2,5
55,Justin Verlander,HOU,31.2,-6.0, , , , , ,1.4,3.3, , ,-8.6, , ,2,5
56,Josiah Gray,WSN,31.1,-6.1, , , , ,-9.6,0.7,0.6, , ,-9.1, , ,2,5
57,JT Brubaker,PIT,27.1,-6.3, , , , ,-10.4,-0.6,0.8, , ,-9.8, , ,2,5
58,Tyler Mahle,CIN,31.1,-6.6, ,0.3,-8.9, , ,2.0, , , , , , ,2,5
59,Kevin Gausman,TOR,36.1,-6.7, , ,-9.7, , ,-0.1, , , ,-5.5, , ,2,5
60,Charlie Morton,ATL,31.1,-6.8, ,0.3, , ,-11.1, ,8.4, , ,-11.0, , ,2,5
