#,Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,MonthSeason,MonthYear
31,Miles Mikolas,STL,37.2,93.7, , , , ,93.4,88.4,76.7, , ,81.4, , ,4,7
32,Alek Manoah,TOR,31.1,93.7, , , , ,93.3,82.0, , , ,86.6, , ,4,7
33,Reid Detmers,LAA,24.0,93.7, , , , ,93.7,86.1,73.5, , ,84.5, , ,4,7
34,Julio Urias,LAD,28.0,93.6, , , , ,93.7, ,81.2, , ,86.5, , ,4,7
35,Pablo Lopez,MIA,31.0,93.6, ,88.8, , ,93.6, ,80.7, , ,87.2, , ,4,7
36,Framber Valdez,HOU,33.2,93.5, ,83.1, , ,93.8, ,79.4, , ,89.4, , ,4,7
37,Chris Bassitt,NYM,25.1,93.5, ,89.0, , ,92.9,79.0,71.4, , ,83.5, , ,4,7
38,Tyler Wells,BAL,25.0,93.4, , , , , ,88.1,77.6, , ,86.8, , ,4,7
39,Jordan Montgomery,NYY,29.1,93.4, ,88.6, , ,93.6, ,81.1, , ,82.6, , ,4,7
40,Taijuan Walker,NYM,30.2,93.4, ,87.8,89.0, ,92.8,84.8,74.4, , , , , ,4,7
41,Jose Urquidy,HOU,33.0,93.4, , , , , ,79.9,77.6, , ,85.6, , ,4,7
42,Eric Lauer,MIL,27.1,93.2, ,89.1, , , ,84.4,78.3, , ,86.2, , ,4,7
43,Carlos Carrasco,NYM,30.0,93.0, , , , ,91.2,84.3,80.5, , ,87.2, , ,4,7
44,Aaron Nola,PHI,35.0,93.0, ,86.6, , ,92.1, , ,78.6, ,86.8, , ,4,7
45,Patrick Sandoval,LAA,24.2,92.9, , , , ,93.7,86.2,78.2, , ,83.4, , ,4,7
46,Tony Gonsolin,LAD,30.2,92.9, , ,83.2, , ,87.1,80.8, , , , , ,4,7
47,Logan Webb,SFG,38.1,92.8, , , , ,91.9,82.8, , , ,86.7, , ,4,7
48,Brady Singer,KCR,30.2,92.8, , , , ,94.1,85.9, , , ,87.0, , ,4,7
49,Triston McKenzie,CLE,33.2,92.7, , , , , ,87.6,79.9, , , , , ,4,7
50,Lance Lynn,CHW,31.2,92.6, ,88.7, , ,91.2,87.0,83.3, , ,85.5, , ,4,7
51,Adrian Sampson,CHC,32.2,92.6, ,84.8, , ,92.2,83.0, , , ,85.6, , ,4,7
52,Sonny Gray,MIN,24.1,92.5, ,83.6, , ,92.3,81.6,79.1, , , , , ,4,7
53,Martin Perez,TEX,31.2,92.5, ,89.7, , ,92.6,83.9,78.7, , ,84.1, , ,4,7
54,Chris Flexen,SEA,27.2,92.4, ,88.2, , , ,80.5,74.8, , ,81.7, , ,4,7
55,Merrill Kelly,ARI,41.1,92.4, ,90.8, , ,92.3,85.5,82.2, , ,88.7, , ,4,7
56,Nestor Cortes,NYY,27.2,92.3, ,87.5, , ,91.2,77.3,72.8, , ,83.1, , ,4,7
57,Lucas Giolito,CHW,27.0,92.3, , , , , ,83.9,79.7, , ,80.8, , ,4,7
58,Jake Odorizzi,HOU,28.1,92.1, ,87.4,85.2, , ,82.7,71.7, , , , , ,4,7
59,Glenn Otto,TEX,29.2,92.0, , , , ,92.1,81.3, ,81.3, ,88.4, , ,4,7
60,Zach Thompson,PIT,27.0,92.0, ,86.4, , ,92.5, ,76.6, , ,85.3, , ,4,7
