#,Name,Team,IP,wFA/C,wFC/C,wFS/C,wSI/C,wCH/C,wSL/C,wCU/C,wCS/C,wKN/C,wSB/C,MonthSeason,MonthYear
31,German Marquez,COL,31.0,1.28, , ,-0.57,-10.58,-3.37,2.45, , , ,5,8
32,Blake Snell,SDP,32.0,1.20, , , ,-3.23,0.89,-2.29, , , ,5,8
33,Mike Clevinger,SDP,32.0,1.13,1.76, ,2.77,-4.52,-4.90,-6.09, , , ,5,8
34,Patrick Sandoval,LAA,32.1,1.05, , ,4.59,0.19,2.76,3.40, , , ,5,8
35,Domingo German,NYY,34.2,1.04, , ,2.96,1.66, ,1.00, , , ,5,8
36,Jeffrey Springs,TBR,27.2,1.00, , , ,0.81,2.11, , , , ,5,8
37,Carlos Rodon,SFG,28.1,0.98, , , ,1.14,0.61,1.64, , , ,5,8
38,Kevin Gausman,TOR,36.2,0.95, ,2.30, , ,-2.47, , , , ,5,8
39,Dylan Cease,CHW,30.1,0.91, ,-0.28, , ,1.48,1.09, , , ,5,8
40,Lance Lynn,CHW,36.2,0.82,-0.46, ,4.13,-6.93,4.99, , , , ,5,8
41,Gerrit Cole,NYY,39.1,0.81, , , ,-4.35,4.04,-2.23, , , ,5,8
42,Matt Manning,DET,32.1,0.80, , ,3.63,-11.34,-0.02,-1.74, , , ,5,8
43,Corbin Burnes,MIL,33.2,0.72,1.30, ,-1.81,-2.49,-6.91,-0.72, , , ,5,8
44,Freddy Peralta,MIL,29.2,0.72, , , ,3.93,-0.12,3.35, , , ,5,8
45,Tyler Anderson,LAD,37.1,0.70,2.85, ,0.97,0.32, ,-3.65, , , ,5,8
46,Yu Darvish,SDP,33.1,0.62,-5.93,1.49,-0.55,13.38,1.26,2.70, , , ,5,8
47,Nick Lodolo,CIN,28.2,0.52, , ,1.36,-2.56, ,-0.50, , , ,5,8
48,Marcus Stroman,CHC,34.0,0.44,-7.38, ,0.84,-1.13,0.78,-23.78, , , ,5,8
49,Cristian Javier,HOU,32.0,0.38, , , ,-5.64,3.55,-0.74, , , ,5,8
50,Miles Mikolas,STL,36.0,0.25, , ,-1.99,15.78,-2.88,0.41,-3.65, , ,5,8
51,Logan Webb,SFG,35.0,0.23,-2.74, ,1.64,0.63,-2.50, , , , ,5,8
52,Jameson Taillon,NYY,31.2,0.20,3.76, ,-3.19,-5.95,-0.58,3.73, , , ,5,8
53,James Kaprielian,OAK,29.0,0.08, , ,-25.04,-5.94,-3.00,-0.85, , , ,5,8
54,Edward Cabrera,MIA,28.1,0.04, , ,1.80,1.89,2.26,3.21, , , ,5,8
55,Tyler Alexander,DET,30.2,0.00,-3.45, ,1.23,0.45,0.98, , , , ,5,8
56,Mike Minor,CIN,33.0,-0.08, , ,5.99,0.74,-1.72,-3.19, , , ,5,8
57,Charlie Morton,ATL,30.1,-0.15, , ,-0.11,1.38,-3.94,2.53, , , ,5,8
58,Tommy Henry,ARI,31.2,-0.15, , , ,0.50,-0.90,0.00, , , ,5,8
59,Spenser Watkins,BAL,30.2,-0.23,-1.39, , ,2.60,5.57,-1.25, , , ,5,8
60,Luis Garcia,HOU,29.0,-0.28,0.78, ,9.60,-4.43,0.72,-2.32, , , ,5,8
