#,Name,Team,IP,wFA/C,wFC/C,wFS/C,wSI/C,wCH/C,wSL/C,wCU/C,wCS/C,wKN/C,wSB/C,MonthSeason,MonthYear
31,Kyle Freeland,COL,33.2,0.38,0.54, ,-0.83,-3.32,-0.51, , , , ,2,2022-05-01
32,Justin Verlander,HOU,31.2,0.34, , , ,3.43,0.44,3.35, , , ,2,2022-05-01
33,Pablo Lopez,MIA,35.2,0.31,-0.96, ,-3.84,1.76, ,-0.46, , , ,2,2022-05-01
34,Tyler Wells,BAL,30.2,0.22, , , ,2.79,1.99,-1.33, , , ,2,2022-05-01
35,Lucas Giolito,CHW,28.1,0.21, , , ,-0.91,-2.20,3.61, , , ,2,2022-05-01
36,Patrick Sandoval,LAA,28.1,0.13, , ,-1.49,-0.57,2.78,-0.74, , , ,2,2022-05-01
37,Cal Quantrill,CLE,31.2,-0.05,-0.32, ,1.02,1.64, ,4.24, , , ,2,2022-05-01
38,Zac Gallen,ARI,35.1,-0.08,3.11, ,-41.87,2.16,-5.97,1.92, , , ,2,2022-05-01
39,Alek Manoah,TOR,31.0,-0.10, , ,2.18,1.46,0.15, , , , ,2,2022-05-01
40,Zach Plesac,CLE,28.0,-0.11, , , ,-0.90,-1.56,-1.68, , , ,2,2022-05-01
41,Robbie Ray,SEA,30.1,-0.41, , , , ,0.24,-12.00, , , ,2,2022-05-01
42,Joe Musgrove,SDP,33.0,-0.48,1.83, ,6.31,-6.22,2.43,0.15, , , ,2,2022-05-01
43,Tyler Mahle,CIN,31.1,-0.58,-0.38,2.43, , ,-1.00,-15.40, , , ,2,2022-05-01
44,Marco Gonzales,SEA,36.2,-0.70,-1.35, ,-2.12,1.80, ,-1.54, , , ,2,2022-05-01
45,Nathan Eovaldi,BOS,28.2,-0.71,-7.89,4.63, , ,-3.06,-4.71, , , ,2,2022-05-01
46,Adam Wainwright,STL,32.0,-0.77,1.75, ,2.11,2.01, ,1.14, , , ,2,2022-05-01
47,Carlos Rodon,SFG,27.0,-0.79, , , , ,0.19,-3.52, , , ,2,2022-05-01
48,Tyler Anderson,LAD,32.0,-1.16,0.52, ,-8.19,4.30, ,2.38, , , ,2,2022-05-01
49,JT Brubaker,PIT,27.1,-1.17, , ,0.79,-4.89,0.16,3.66, , , ,2,2022-05-01
50,Bruce Zimmermann,BAL,32.1,-1.38, , ,-9.63,-2.46,-0.56,2.85, , , ,2,2022-05-01
51,Max Fried,ATL,37.0,-1.49, , ,1.19,0.70,2.15,-0.17, , , ,2,2022-05-01
52,Sandy Alcantara,MIA,42.1,-1.50, , ,0.12,1.91,3.74,-3.19, , , ,2,2022-05-01
53,Kyle Hendricks,CHC,29.0,-1.77, , ,1.94,-0.38, ,-1.77, , , ,2,2022-05-01
54,Shane Bieber,CLE,24.1,-1.85,4.70, , ,0.93,1.32,-1.60, , , ,2,2022-05-01
55,Josiah Gray,WSN,31.1,-1.96, , ,4.86,-1.85,0.78,-0.94, , , ,2,2022-05-01
56,Zack Greinke,KCR,29.2,-2.20, , ,-2.76,0.11,-1.21,1.19,-84.32, , ,2,2022-05-01
57,Humberto Castellanos,ARI,30.1,-2.25, , ,-0.52,-1.39,-1.21,-1.91, , , ,2,2022-05-01
58,Patrick Corbin,WSN,34.2,-2.48, , ,-0.72,-1.74,-0.65, , , , ,2,2022-05-01
59,German Marquez,COL,29.0,-2.51, , ,-2.19,-8.41,0.22,-0.91, , , ,2,2022-05-01
60,Brad Keller,KCR,30.0,-2.76, , ,-3.68,-2.72,1.81, , , , ,2,2022-05-01
