#,Name,Team,IP,wFA/C,wFC/C,wFS/C,wSI/C,wCH/C,wSL/C,wCU/C,wCS/C,wKN/C,wSB/C,MonthSeason,MonthYear
1,Alex Wood,SFG,30.0,29.94, , ,-0.16,-3.08,-1.23, , , , ,5,2022-08-01
2,Alex Cobb,SFG,29.0,15.29, ,0.60,0.42, , ,-0.98, , , ,5,2022-08-01
3,Corey Kluber,TBR,29.2,12.62,1.20, ,-2.74,0.87,-4.22, , , , ,5,2022-08-01
4,Johnny Cueto,CHW,35.2,3.94,-4.19, ,-0.87,-0.50,0.10,7.53, , , ,5,2022-08-01
5,George Kirby,SEA,29.1,3.73, , ,-1.28,-0.39,0.98,-1.80, , , ,5,2022-08-01
6,Justin Verlander,HOU,28.0,3.69, , , ,-2.10,-0.34,2.42, , , ,5,2022-08-01
7,Luis Castillo,SEA,31.2,3.59, , ,-0.59,-1.49,0.46, , , , ,5,2022-08-01
8,Zac Gallen,ARI,40.0,3.55,2.31, , ,6.19,4.71,-0.90, , , ,5,2022-08-01
9,Drew Rasmussen,TBR,34.1,3.44,1.16, ,12.09, ,0.65,0.23, , , ,5,2022-08-01
10,Jacob deGrom,NYM,36.1,3.43, , , ,0.02,2.86,3.82, , , ,5,2022-08-01
11,Robbie Ray,SEA,33.0,3.37, , ,-0.64, ,1.53,-0.76, , , ,5,2022-08-01
12,Alek Manoah,TOR,29.2,3.19, , ,-0.54,-2.85,-0.75, , , , ,5,2022-08-01
13,Jordan Montgomery,STL,30.2,2.91, , ,1.41,2.11, ,1.81, , , ,5,2022-08-01
14,Cole Irvin,OAK,38.1,2.45, , ,-2.33,-0.40,-0.66,-1.64, , , ,5,2022-08-01
15,Jose Quintana,STL,29.1,2.41, , ,-0.12,-4.74, ,0.33, , , ,5,2022-08-01
16,Cal Quantrill,CLE,38.0,2.21,3.91, ,0.37,0.05, ,5.27, , , ,5,2022-08-01
17,Dean Kremer,BAL,32.0,1.99,3.13, ,-0.83,-0.80, ,1.96, , , ,5,2022-08-01
18,Martin Perez,TEX,34.0,1.97,0.03, ,0.79,-3.10,0.57,-13.07, , , ,5,2022-08-01
19,Jose Urquidy,HOU,31.2,1.80, , , ,1.80,-1.26,-1.08, , , ,5,2022-08-01
20,Merrill Kelly,ARI,32.1,1.76,-1.27, ,0.96,1.22, ,-1.35, , , ,5,2022-08-01
21,Julio Urias,LAD,30.0,1.75, , , ,1.05, ,2.51, , , ,5,2022-08-01
22,Joe Musgrove,SDP,34.0,1.57,2.40, ,-1.37,-3.97,-2.57,-2.85, , , ,5,2022-08-01
23,Jesus Luzardo,MIA,36.1,1.47, , ,0.73,4.46,-0.28, , , , ,5,2022-08-01
24,Triston McKenzie,CLE,38.2,1.45, , , , ,-0.60,2.32, , , ,5,2022-08-01
25,Joe Ryan,MIN,32.2,1.36, , , ,-2.91,-4.27,3.40, , , ,5,2022-08-01
26,Max Scherzer,NYM,40.2,1.33,-1.48, , ,-3.97,3.33,4.10, , , ,5,2022-08-01
27,Austin Voth,BAL,28.0,1.32,1.86, , ,4.83,3.29,-0.11, , , ,5,2022-08-01
28,Shane Bieber,CLE,33.1,1.31,0.43, , ,3.87,2.58,1.48, , , ,5,2022-08-01
29,Eric Lauer,MIL,30.0,1.31,-0.40, , ,-17.72,-0.21,2.24, , , ,5,2022-08-01
30,Daniel Lynch,KCR,32.0,1.31, , ,-5.42,0.07,-1.98,1.70, , , ,5,2022-08-01
