#,Name,Team,IP,FA-X,FC-X,FS-X,SI-X,CH-X,SL-X,CU-X,CS-X,KN-X,SB-X,MonthSeason,MonthYear
31,Anibal Sanchez,WSN,30.2,-2.2,0.0,-6.1,-7.0,-8.3,2.8,1.8, , , ,5,2022-08-01
32,Joe Musgrove,SDP,34.0,-2.3,1.0, ,-6.6,-6.7,7.7,6.0, , , ,5,2022-08-01
33,Nick Pivetta,BOS,28.2,-2.5, ,-5.0, , ,3.4,4.5, , , ,5,2022-08-01
34,Alek Manoah,TOR,29.2,-2.8, , ,-7.8,-7.7,7.8, , , , ,5,2022-08-01
35,Miles Mikolas,STL,36.0,-3.1, , ,-7.7,-6.6,1.8,4.1,1.3, , ,5,2022-08-01
36,Jameson Taillon,NYY,31.2,-3.1,1.7, ,-7.5,-7.7,3.9,5.4, , , ,5,2022-08-01
37,Chris Bassitt,NYM,33.1,-3.3,1.5, ,-8.8,-8.6,6.6,9.0, , , ,5,2022-08-01
38,Brandon Woodruff,MIL,30.0,-3.3, , ,-7.8,-8.3,1.9,1.6, , , ,5,2022-08-01
39,Lucas Giolito,CHW,31.2,-3.5, , , ,-7.3,1.7,3.9, , , ,5,2022-08-01
40,Marcus Stroman,CHC,34.0,-3.7,0.6, ,-5.5,-7.2,7.4,9.7, , , ,5,2022-08-01
41,Jordan Lyles,BAL,34.0,-3.7, , ,-7.7,-8.4,7.6,3.8, , , ,5,2022-08-01
42,James Kaprielian,OAK,29.0,-3.8, , ,-8.4,-3.2,4.6,5.0, , , ,5,2022-08-01
43,Corbin Burnes,MIL,33.2,-3.9,2.1, ,-6.7,-8.3,4.3,5.6, , , ,5,2022-08-01
44,Brady Singer,KCR,37.0,-3.9, , ,-8.8,-8.9,2.1, , , , ,5,2022-08-01
45,Noah Syndergaard,PHI,30.2,-3.9, , ,-8.2,-8.3,2.6,6.1, , , ,5,2022-08-01
46,Ryan Feltner,COL,30.0,-3.9, , ,-6.9,-2.2,3.6,4.5, , , ,5,2022-08-01
47,Kyle Gibson,PHI,31.1,-4.0,0.0, ,-8.1,-8.4,2.4,4.6, , , ,5,2022-08-01
48,Cristian Javier,HOU,32.0,-4.3, , , ,-7.7,8.4,7.7, , , ,5,2022-08-01
49,Jose Urquidy,HOU,31.2,-4.4, , , ,-8.9,8.0,3.7, , , ,5,2022-08-01
50,Yu Darvish,SDP,33.1,-4.4,1.9,-2.7,-7.6,-7.9,6.1,6.8, , , ,5,2022-08-01
51,Austin Voth,BAL,28.0,-4.6,1.2, , ,-6.9,7.1,9.3, , , ,5,2022-08-01
52,Merrill Kelly,ARI,32.1,-4.7,-1.0, ,-9.5,-9.7, ,5.6, , , ,5,2022-08-01
53,Luis Garcia,HOU,29.0,-4.9,2.7, ,-9.9,-9.7,9.4,3.6, , , ,5,2022-08-01
54,Freddy Peralta,MIL,29.2,-4.9, , , ,-8.2,4.4,3.2, , , ,5,2022-08-01
55,George Kirby,SEA,29.1,-5.0, , ,-9.1,-8.7,6.7,4.7, , , ,5,2022-08-01
56,Cal Quantrill,CLE,38.0,-5.0,1.2, ,-7.6,-7.6, ,1.6, , , ,5,2022-08-01
57,Mike Clevinger,SDP,32.0,-5.1,3.5, ,-8.1,-7.6,9.6,4.7, , , ,5,2022-08-01
58,Shane Bieber,CLE,33.1,-5.2,1.3, , ,-7.4,1.6,6.6, , , ,5,2022-08-01
59,German Marquez,COL,31.0,-5.2, , ,-8.6,-5.9,-0.6,0.1, , , ,5,2022-08-01
60,Jacob deGrom,NYM,36.1,-5.2, , , ,-7.1,2.1,3.9, , , ,5,2022-08-01
