#,Name,Team,RA9-WAR,BIP-Wins,LOB-Wins,FDP-Wins,RAR,WAR,Dollars,MonthSeason,MonthYear
1,Max Scherzer,NYM,1.7,0.0,0.2,0.2,12.1,1.5,$11.7,4,2022-07-01
2,Max Fried,ATL,1.6,-0.2,0.4,0.2,11.7,1.3,$10.8,4,2022-07-01
3,Clayton Kershaw,LAD,0.9,0.3,-0.7,-0.4,10.9,1.3,$10.3,4,2022-07-01
4,Brandon Woodruff,MIL,1.3,-0.2,0.2,0.0,10.7,1.3,$10.1,4,2022-07-01
5,Carlos Rodon,SFG,0.7,0.0,-0.6,-0.6,11.0,1.3,$10.0,4,2022-07-01
6,Merrill Kelly,ARI,2.2,0.9,0.1,1.0,10.8,1.2,$9.8,4,2022-07-01
7,Triston McKenzie,CLE,1.8,0.5,0.2,0.7,9.7,1.1,$9.0,4,2022-07-01
8,Aaron Nola,PHI,0.8,0.0,-0.3,-0.3,9.7,1.1,$8.9,4,2022-07-01
9,Cole Irvin,OAK,1.4,1.0,-0.7,0.3,9.5,1.1,$8.8,4,2022-07-01
10,Sandy Alcantara,MIA,1.5,0.3,0.1,0.4,9.3,1.1,$8.5,4,2022-07-01
11,Brady Singer,KCR,1.3,-0.2,0.5,0.3,8.9,1.0,$8.3,4,2022-07-01
12,Shohei Ohtani,LAA,0.6,-0.3,-0.2,-0.5,8.6,1.0,$8.2,4,2022-07-01
13,Reid Detmers,LAA,1.3,0.1,0.1,0.2,8.6,1.0,$8.2,4,2022-07-01
14,Alex Cobb,SFG,1.0,0.1,-0.2,-0.1,9.1,1.0,$8.1,4,2022-07-01
15,Spencer Strider,ATL,0.9,0.2,-0.3,-0.1,8.8,1.0,$8.1,4,2022-07-01
16,Corbin Burnes,MIL,1.2,0.2,0.0,0.2,8.8,1.0,$8.0,4,2022-07-01
17,Corey Kluber,TBR,-0.2,-0.5,-0.6,-1.1,8.3,0.9,$7.5,4,2022-07-01
18,Tyler Anderson,LAD,1.7,0.5,0.3,0.8,8.2,0.9,$7.4,4,2022-07-01
19,Yu Darvish,SDP,0.9,0.2,-0.1,0.0,8.0,0.9,$7.1,4,2022-07-01
20,Jose Quintana,PIT,0.6,-0.3,0.0,-0.3,7.6,0.9,$6.9,4,2022-07-01
21,Framber Valdez,HOU,0.8,-0.1,0.0,-0.1,7.6,0.9,$6.8,4,2022-07-01
22,Dylan Cease,CHW,2.2,0.3,1.1,1.4,7.4,0.8,$6.5,4,2022-07-01
23,Gerrit Cole,NYY,0.4,-0.1,-0.2,-0.4,7.1,0.8,$6.2,4,2022-07-01
24,Carlos Carrasco,NYM,1.8,-0.4,1.4,1.0,6.9,0.8,$6.1,4,2022-07-01
25,Jose Berrios,TOR,1.0,-0.2,0.5,0.2,6.9,0.8,$6.1,4,2022-07-01
26,Patrick Sandoval,LAA,-0.2,-0.9,0.0,-0.9,6.7,0.8,$6.0,4,2022-07-01
27,Shane McClanahan,TBR,0.8,0.4,-0.3,0.1,6.7,0.7,$5.9,4,2022-07-01
28,Luis Castillo,CIN,1.4,0.4,0.2,0.6,6.5,0.7,$5.8,4,2022-07-01
29,Kutter Crawford,BOS,1.0,0.3,0.0,0.3,6.1,0.7,$5.5,4,2022-07-01
30,Braxton Garrett,MIA,0.9,0.4,-0.3,0.2,6.2,0.7,$5.4,4,2022-07-01
