#,Name,Team,RA9-WAR,BIP-Wins,LOB-Wins,FDP-Wins,RAR,WAR,Dollars,MonthSeason,MonthYear
31,Zack Wheeler,PHI,1.2,0.6,0.0,0.6,6.2,0.7,$5.3,4,2022-07-01
32,Jose Urquidy,HOU,1.1,0.8,-0.3,0.4,5.8,0.6,$5.1,4,2022-07-01
33,Julio Urias,LAD,0.8,0.4,-0.2,0.2,5.7,0.6,$4.9,4,2022-07-01
34,Logan Gilbert,SEA,0.6,-0.1,0.1,0.0,5.4,0.6,$4.8,4,2022-07-01
35,Logan Webb,SFG,1.1,0.3,0.3,0.5,5.6,0.6,$4.7,4,2022-07-01
36,Blake Snell,SDP,0.8,-0.1,0.4,0.3,5.0,0.5,$4.3,4,2022-07-01
37,Nestor Cortes,NYY,0.9,0.0,0.4,0.3,5.0,0.5,$4.3,4,2022-07-01
38,Adrian Sampson,CHC,0.3,-0.1,-0.1,-0.2,4.9,0.5,$4.2,4,2022-07-01
39,German Marquez,COL,0.8,0.2,0.1,0.3,4.8,0.5,$4.1,4,2022-07-01
40,Mitch Keller,PIT,1.0,-0.1,0.6,0.5,4.8,0.5,$4.1,4,2022-07-01
41,Jake Odorizzi,HOU,0.3,0.1,-0.2,-0.2,4.5,0.5,$3.8,4,2022-07-01
42,Jon Gray,TEX,0.5,0.1,-0.1,0.0,4.5,0.5,$3.8,4,2022-07-01
43,Zac Gallen,ARI,0.8,0.4,-0.1,0.3,4.4,0.5,$3.8,4,2022-07-01
44,Kyle Freeland,COL,0.2,0.0,-0.2,-0.2,4.4,0.5,$3.7,4,2022-07-01
45,Chris Bassitt,NYM,0.6,0.2,0.0,0.2,4.1,0.4,$3.5,4,2022-07-01
46,Brad Keller,KCR,0.5,0.2,-0.1,0.1,4.1,0.4,$3.5,4,2022-07-01
47,Lucas Giolito,CHW,0.0,-0.2,-0.2,-0.4,4.0,0.4,$3.4,4,2022-07-01
48,Pablo Lopez,MIA,0.3,-0.1,-0.1,-0.1,3.9,0.4,$3.3,4,2022-07-01
49,Charlie Morton,ATL,0.7,0.3,0.0,0.3,3.9,0.4,$3.3,4,2022-07-01
50,Johnny Cueto,CHW,1.3,0.2,0.6,0.8,3.8,0.4,$3.2,4,2022-07-01
51,Andre Pallante,STL,0.0,-0.8,0.4,-0.4,3.4,0.4,$2.8,4,2022-07-01
52,Marco Gonzales,SEA,0.1,-0.4,0.2,-0.3,3.3,0.3,$2.8,4,2022-07-01
53,Taijuan Walker,NYM,0.8,0.2,0.3,0.5,3.1,0.3,$2.6,4,2022-07-01
54,Madison Bumgarner,ARI,0.2,0.0,0.0,-0.1,3.0,0.3,$2.5,4,2022-07-01
55,Austin Gomber,COL,0.5,0.0,0.2,0.2,3.0,0.3,$2.5,4,2022-07-01
56,Tony Gonsolin,LAD,0.3,0.3,-0.2,0.0,3.0,0.3,$2.5,4,2022-07-01
57,Jose Urena,COL,0.0,-0.2,-0.1,-0.3,2.9,0.3,$2.4,4,2022-07-01
58,Alek Manoah,TOR,0.6,0.2,0.1,0.3,2.8,0.3,$2.3,4,2022-07-01
59,Aaron Ashby,MIL,0.0,-0.2,-0.1,-0.3,2.5,0.3,$2.1,4,2022-07-01
60,James Kaprielian,OAK,1.2,0.6,0.3,0.9,2.5,0.3,$2.1,4,2022-07-01
