#,Name,Team,IP,wFA,wFT,wFC,wFS,wFO,wSI,wSL,wCU,wKC,wEP,wCH,wSC,wKN,MonthSeason,MonthYear
1,Triston McKenzie,CLE,38.2,6.5, , , , , ,-0.4,2.3, , , , , ,6,2022-09-01
2,Zac Gallen,ARI,38.1,6.2, ,-0.5, , , , , ,2.5, ,1.5, , ,6,2022-09-01
3,Logan Gilbert,SEA,36.0,6.1, , , , ,-0.3,3.6, ,-2.1, ,0.1, , ,6,2022-09-01
4,Lance Lynn,CHW,37.1,5.6, ,0.6, , ,-0.6,0.5,-3.4, , ,0.2, , ,6,2022-09-01
5,Jose Quintana,STL,33.1,5.5, , , , ,3.0, ,4.6, , ,0.1, , ,6,2022-09-01
6,Blake Snell,SDP,35.0,5.0, , , , , ,4.2,-0.5, , ,-0.5, , ,6,2022-09-01
7,Jesus Luzardo,MIA,35.0,3.8, , , , ,1.9, ,-0.8, , ,-0.6, , ,6,2022-09-01
8,Clayton Kershaw,LAD,41.0,3.7, , , , , ,5.2,3.0, , , , , ,6,2022-09-01
9,Brandon Woodruff,MIL,44.2,3.3, , , , ,1.9,2.4,-1.3, , ,1.7, , ,6,2022-09-01
10,Luis Castillo,SEA,33.2,3.1, , , , ,1.2,3.2, , , ,-4.0, , ,6,2022-09-01
11,Alek Manoah,TOR,41.0,3.1, , , , ,5.5,2.5, , , ,-0.1, , ,6,2022-09-01
12,Nick Lodolo,CIN,36.1,3.0, , , , ,-1.5, ,3.2, , ,0.1, , ,6,2022-09-01
13,Hayden Wesneski,CHC,33.0,2.7, ,0.4, , ,0.6,1.8, , , ,-0.5, , ,6,2022-09-01
14,Pablo Lopez,MIA,34.0,2.4, ,0.5, , ,0.9, ,0.7, , ,-3.0, , ,6,2022-09-01
15,Kevin Gausman,TOR,34.1,2.3, , ,-1.3, , ,0.1, , , ,-1.3, , ,6,2022-09-01
16,Adrian Sampson,CHC,38.2,2.2, ,1.1, , ,5.2,0.3, , , ,1.0, , ,6,2022-09-01
17,Kyle Freeland,COL,32.2,2.1, , , , ,-3.8,1.1,0.4, , ,-1.9, , ,6,2022-09-01
18,Yu Darvish,SDP,39.0,2.0, ,1.5,-0.3, ,1.5,2.0,1.9, , , , , ,6,2022-09-01
19,Dylan Cease,CHW,37.0,1.8, , , , , ,6.1, ,-0.1, ,-0.1, , ,6,2022-09-01
20,Aaron Nola,PHI,34.1,1.2, ,3.4, , ,2.7, , ,0.1, ,1.2, , ,6,2022-09-01
21,Marco Gonzales,SEA,36.1,1.0, ,-2.8, , , , ,1.1, , ,-0.8, , ,6,2022-09-01
22,Julio Urias,LAD,35.1,0.7, , , , ,-1.3, ,4.4, , ,2.1, , ,6,2022-09-01
23,Kyle Bradish,BAL,37.2,0.6, , , , ,-1.0,6.7,-1.4, , ,1.3, , ,6,2022-09-01
24,Luis Cessa,CIN,37.0,0.5, , , , ,2.3,-2.0, , , ,1.5, , ,6,2022-09-01
25,Jose Urena,COL,33.1,0.5, , , , ,1.3,-0.3, , , ,-0.4, , ,6,2022-09-01
26,Joe Musgrove,SDP,31.2,0.4, ,1.3, , ,-0.4,-0.7,-2.9, , ,1.1, , ,6,2022-09-01
27,Shane Bieber,CLE,48.0,0.4, ,1.7, , , ,3.9, ,2.8, ,-1.3, , ,6,2022-09-01
28,Johnny Cueto,CHW,34.2,0.3, ,-2.5, , ,2.5,0.6,-1.0, , ,-2.9, , ,6,2022-09-01
29,Framber Valdez,HOU,37.1,0.1, ,1.1, , ,-1.6, ,1.1, , ,1.2, , ,6,2022-09-01
30,Merrill Kelly,ARI,42.2,0.1, ,0.6, , ,-2.6,0.2,0.0, , ,-2.5, , ,6,2022-09-01
