#,Name,Team,IP,wFA,wFT,wFC,wFS,wFO,wSI,wSL,wCU,wKC,wEP,wCH,wSC,wKN,MonthSeason,MonthYear
31,Kyle Freeland,COL,33.2,0.5, , , , ,-1.2,0.7,-0.4, , ,-2.7, , ,2,2022-05-01
32,Lucas Giolito,CHW,28.1,0.5, , , , , ,-2.6,0.7, , ,-1.1, , ,2,2022-05-01
33,Tyler Wells,BAL,30.2,0.4, , , , , ,2.7,-0.1, , ,2.5, , ,2,2022-05-01
34,Patrick Sandoval,LAA,28.1,0.2, , , , ,-0.5,3.8,-0.3, , ,-0.6, , ,2,2022-05-01
35,Logan Webb,SFG,31.0,0.1, , , , ,-1.0,1.7, , , ,4.0, , ,2,2022-05-01
36,Dane Dunning,TEX,28.1,0.1, ,-0.9, , ,4.1,-2.7, , , ,-2.4, , ,2,2022-05-01
37,Adam Wainwright,STL,32.0,0.0, ,1.5, , ,2.9, ,1.3, , ,0.9, , ,2,2022-05-01
38,Erick Fedde,WSN,29.0,0.0, ,1.1, , ,0.6, ,-1.0, , ,-0.7, , ,2,2022-05-01
39,Alex Cobb,SFG,28.1,-0.1, , ,-1.1, ,1.9, , ,-2.5, , , , ,2,2022-05-01
40,Zac Gallen,ARI,35.1,-0.1, ,0.0, , ,-0.4,0.0, ,1.8, ,2.5, , ,2,2022-05-01
41,Alek Manoah,TOR,31.0,-0.2, , , , ,1.8,0.2, , , ,0.7, , ,2,2022-05-01
42,Zach Plesac,CLE,28.0,-0.2, , , , , ,-1.5,-0.5, , ,-1.0, , ,2,2022-05-01
43,Joe Musgrove,SDP,33.0,-0.5, ,1.6, , ,2.0,3.6,0.2, , ,-1.4, , ,2,2022-05-01
44,Cal Quantrill,CLE,31.2,-0.5, ,-0.5, , ,2.5, ,0.1, , ,0.8, , ,2,2022-05-01
45,JT Brubaker,PIT,27.1,-0.7, , , , ,1.5,0.2,1.3, , ,-0.9, , ,2,2022-05-01
46,Humberto Castellanos,ARI,30.1,-0.8, , , , ,-0.8,-1.8,-1.9, , ,-0.8, , ,2,2022-05-01
47,Tyler Anderson,LAD,32.0,-0.9, ,0.1, , ,-3.8, ,0.2, , ,6.7, , ,2,2022-05-01
48,Robbie Ray,SEA,30.1,-1.1, , , , , ,0.5, ,-0.4, , , , ,2,2022-05-01
49,Jordan Montgomery,NYY,33.1,-1.2, ,1.7, , ,1.7, ,1.6, , ,-1.2, , ,2,2022-05-01
50,Nathan Eovaldi,BOS,28.2,-1.4, ,-2.5,4.1, , ,-2.0,-3.4, , , , , ,2,2022-05-01
51,Tyler Mahle,CIN,31.1,-1.8, ,-0.7,4.0, , ,-0.8, , , , , , ,2,2022-05-01
52,Bruce Zimmermann,BAL,32.1,-1.9, , , , ,-3.9,-0.6,1.5, , ,-3.4, , ,2,2022-05-01
53,Shane Bieber,CLE,24.1,-2.1, ,0.3, , , ,1.3, ,-1.0, ,0.1, , ,2,2022-05-01
54,Sandy Alcantara,MIA,42.1,-2.2, , , , ,0.1,5.3,0.1, , ,3.4, , ,2,2022-05-01
55,Marco Gonzales,SEA,36.2,-2.4, ,-1.5, , , , ,-0.9, , ,3.2, , ,2,2022-05-01
56,Carlos Rodon,SFG,27.0,-2.5, , , , , ,0.3,-0.8, , , , , ,2,2022-05-01
57,Chris Bassitt,NYM,35.0,-2.6, ,0.7, , ,2.0,-3.7,-1.2, , ,-0.5, , ,2,2022-05-01
58,Max Fried,ATL,37.0,-2.8, , , , ,1.1,2.7,-0.2, , ,0.5, , ,2,2022-05-01
59,Kyle Hendricks,CHC,29.0,-2.9, , , , ,2.3, ,-1.5, , ,-0.5, , ,2,2022-05-01
60,Patrick Corbin,WSN,34.2,-3.0, , , , ,-1.1,-1.1, , , ,-1.0, , ,2,2022-05-01
