#,Name,Team,IP,FA-Z,FC-Z,FS-Z,SI-Z,CH-Z,SL-Z,CU-Z,CS-Z,KN-Z,SB-Z,MonthSeason,MonthYear
31,Bruce Zimmermann,BAL,32.1,8.7, , ,5.4,5.1,0.8,-4.8, , , ,2,5
32,Patrick Sandoval,LAA,28.1,8.6, , ,6.0,4.2,-0.4,-6.3, , , ,2,5
33,Zack Wheeler,PHI,32.2,8.6, ,3.7,5.7,4.4,3.0,-7.0, , , ,2,5
34,Alex Cobb,SFG,28.1,8.5, ,0.4,5.0, , ,-8.2, , , ,2,5
35,Corbin Burnes,MIL,39.0,8.4,5.5, ,6.5,4.0,-0.5,-4.0, , , ,2,5
36,Drew Rasmussen,TBR,28.2,8.4,3.7, , , ,-3.0,-9.5, , , ,2,5
37,Marco Gonzales,SEA,36.2,8.4,6.5, ,5.3,3.0, ,-8.8, , , ,2,5
38,Kyle Hendricks,CHC,29.0,8.3, , ,4.3,5.3, ,-9.6, , , ,2,5
39,JT Brubaker,PIT,27.1,8.3, , ,4.8,2.6,0.7,-5.3, , , ,2,5
40,Jordan Montgomery,NYY,33.1,8.2,4.7, ,5.1,6.1, ,-3.6, , , ,2,5
41,Martin Perez,TEX,42.1,8.1,5.7, ,4.8,4.0, ,-4.0, , , ,2,5
42,Jose Quintana,PIT,27.0,8.1,5.3, ,7.0,2.6, ,-3.7, , , ,2,5
43,Adam Wainwright,STL,32.0,8.1,4.1, ,6.3,4.0, ,-8.9, , , ,2,5
44,Tarik Skubal,DET,31.0,8.1, , ,5.7,2.8,4.1,-5.9, , , ,2,5
45,Miles Mikolas,STL,31.0,8.0, , ,6.3,4.3,1.3,-10.1,-9.5, , ,2,5
46,Michael Lorenzen,LAA,32.2,8.0,4.8, ,4.3,4.6,-0.1, , , , ,2,5
47,Aaron Nola,PHI,33.0,7.8,4.1, ,4.6,0.8, ,-7.2, , , ,2,5
48,Zack Greinke,KCR,29.2,7.7, , ,4.8,2.3,2.8,-7.6,-11.4, , ,2,5
49,Patrick Corbin,WSN,34.2,7.7, , ,6.0,5.0,0.2, , , , ,2,5
50,Carlos Carrasco,NYM,30.0,7.5, , ,3.5,-0.3,1.5,-4.8, , , ,2,5
51,Kyle Freeland,COL,33.2,7.5,1.9, ,3.1,3.2,-4.8, , , , ,2,5
52,Sandy Alcantara,MIA,42.1,7.4, , ,3.4,1.4,1.4,-2.9, , , ,2,5
53,Nathan Eovaldi,BOS,28.2,7.3,5.9,0.1, , ,1.7,-6.4, , , ,2,5
54,Chris Bassitt,NYM,35.0,7.2,3.9, ,4.8,2.8,-1.2,-9.5, , , ,2,5
55,German Marquez,COL,29.0,7.2, , ,4.7,4.5,1.8,-1.2, , , ,2,5
56,Joe Musgrove,SDP,33.0,7.1,4.1, ,3.6,1.5,-1.8,-8.7, , , ,2,5
57,Charlie Morton,ATL,31.1,7.0, , ,3.3,1.0,2.4,-6.2, , , ,2,5
58,Kyle Wright,ATL,29.2,6.9, , ,2.4,0.0,3.8,-6.3, , , ,2,5
59,Max Fried,ATL,37.0,6.6, , ,4.8,0.9,-0.6,-11.1, , , ,2,5
60,Brad Keller,KCR,30.0,6.3, , ,3.6,4.2,-1.6, , , , ,2,5
