#,Name,Team,IP,FA-Z,FC-Z,FS-Z,SI-Z,CH-Z,SL-Z,CU-Z,CS-Z,KN-Z,SB-Z,MonthSeason,MonthYear
31,Alek Manoah,TOR,31.1,8.9, , ,5.3,5.0,0.2, , , , ,4,2022-07-01
32,Patrick Sandoval,LAA,24.2,8.8, , ,6.5,3.9,0.0,-7.6, , , ,4,2022-07-01
33,Kris Bubic,KCR,35.2,8.8, , , ,4.2, ,-8.0, , , ,4,2022-07-01
34,Eric Lauer,MIL,27.1,8.8,5.2, , ,4.6,-1.0,-4.4, , , ,4,2022-07-01
35,Cole Irvin,OAK,34.0,8.7, , ,6.1,3.6,-3.0,-5.8, , , ,4,2022-07-01
36,Reid Detmers,LAA,24.0,8.6, , , ,3.8,-3.1,-9.3, , , ,4,2022-07-01
37,Madison Bumgarner,ARI,31.0,8.5,3.8, , ,4.5, ,-2.8, , , ,4,2022-07-01
38,Zack Wheeler,PHI,32.2,8.4, ,4.9,5.9,3.9,2.1,-6.7, , , ,4,2022-07-01
39,Glenn Otto,TEX,29.2,8.4, , ,5.0,4.3,-0.7,-6.3, , , ,4,2022-07-01
40,Max Scherzer,NYM,32.1,8.4,4.0, , ,1.4,1.4,-5.8, , , ,4,2022-07-01
41,James Kaprielian,OAK,28.0,8.3, , ,5.6,1.2,1.5,-5.4, , , ,4,2022-07-01
42,Adam Wainwright,STL,32.1,8.3,2.1, ,6.5,4.4,-2.6,-9.7, , , ,4,2022-07-01
43,Kyle Gibson,PHI,27.1,8.3,4.3, ,2.7,1.6,-2.2,-6.0, , , ,4,2022-07-01
44,Marco Gonzales,SEA,31.1,8.3,6.0, ,5.4,2.8, ,-8.3, , , ,4,2022-07-01
45,Johnny Cueto,CHW,34.0,8.2,5.2, ,4.7,1.9,4.2,1.1, , , ,4,2022-07-01
46,Merrill Kelly,ARI,41.1,8.2,6.7, ,3.8,0.9,1.4,-6.1, , , ,4,2022-07-01
47,Aaron Nola,PHI,35.0,8.2,3.8, ,4.8,1.7, ,-6.7, , , ,4,2022-07-01
48,Adrian Sampson,CHC,32.2,8.1, , ,5.8,3.1,-1.2, , , , ,4,2022-07-01
49,Corey Kluber,TBR,32.0,8.1,4.3, ,4.3,2.6,0.1, , , , ,4,2022-07-01
50,Sonny Gray,MIN,24.1,8.1, , ,4.8, ,-4.3,-8.6, , , ,4,2022-07-01
51,Jose Quintana,PIT,27.0,8.1,6.2, ,7.1,3.5, ,-4.3, , , ,4,2022-07-01
52,Martin Perez,TEX,31.2,8.1,6.3, ,5.1,4.5,0.5,-3.5, , , ,4,2022-07-01
53,Jordan Montgomery,NYY,29.1,8.0,5.2, ,5.3,6.2, ,-3.0, , , ,4,2022-07-01
54,Joe Ryan,MIN,26.2,8.0, , , ,5.1,2.2,-3.9, , , ,4,2022-07-01
55,Shohei Ohtani,LAA,25.1,8.0,1.7,0.7,3.7, ,1.5,-8.9, , , ,4,2022-07-01
56,Mitch Keller,PIT,31.0,7.9, , ,5.8,2.4,-2.3,-8.9, , , ,4,2022-07-01
57,Miles Mikolas,STL,37.2,7.8, , ,6.1,4.5,2.5,-8.9,-6.9, , ,4,2022-07-01
58,Braxton Garrett,MIA,30.0,7.8, , ,3.0,1.9,-1.6,-5.3, , , ,4,2022-07-01
59,Kyle Freeland,COL,29.0,7.5,2.4, ,3.5,4.1,-4.2, , , , ,4,2022-07-01
60,Aaron Ashby,MIL,25.2,7.4, , ,5.1,1.5,-2.0,-9.4, , , ,4,2022-07-01
